"symbol","basedate","netinc0","netinc1","netinc2","netinc3","totrev0","totrev1","totrev2","totrev3","gsprof0","gsprof1","gsprof2","gsprof3","dneps0","dneps1","dneps2","dneps3"
"AA","2014-12-31",268,-2285,191,611,23906,23032,23700,24951,4769,3746,3299,4471,0.83,-0.62,0.11,0.7
"AAN","2014-12-31",78.23,120.67,173.04,113.77,2725.24,2234.63,2212.83,2012.58,1438.01,1244.64,1202.31,1090.23,1.4,1.88,2.03,1.75
"AAP","2015-01-03",493.82,391.76,387.67,394.68,9843.86,6493.81,6205,6170.46,4453.61,3252.15,3098.04,3069.29,6.71,5.32,5.22,5.15
"AAT","2014-12-31",31.14,22.59,51.6,21.78,260,255.06,235.47,202.78,168.77,165.07,149.35,125.91,0.36,0.26,-0.07,-0.62
"AAV","2013-12-31",-3.38,-89.12,-152.77,40.92,255.91,234.78,302.32,273.41,189.6,145.55,213.15,177.81,0.01,-0.19,-0.19,0.13
"ABB","2014-12-31",2594,2787,2704,3168,39830,41848,39336,37990,11215,11992,11378,11434,0.9,1.38,1.34,1.42
"ABC","2014-09-30",276.48,433.71,718.99,706.62,119569.13,87959.17,78080.81,78695.66,3006.77,2530.72,2649.49,2461.08,1.32,2.21,3.11,2.58
"ABG","2014-12-31",111.6,109.1,82.2,67.9,5646.2,5128,4641.8,4141.4,745.7,669.1,763.8,700.3,0.24,-0.78,2.68,1.44
"ABM","2014-10-31",75.6,72.9,62.58,68.5,5032.8,4809.3,4300.27,4246.84,519.3,495.9,445.88,465.58,1.32,1.3,1.4,1.42
"ABR","2014-12-31",93.05,21.17,21.5,-40.31,141,131.45,111.45,95.99,83.2,78.48,60.59,36.04,-0.03,0.3,-0.13,-1.7
"ABX","2014-12-31",-2907,-10366,-538,4484,10239,12511,14394,14236,3409,5268,7137,7996,-0.17,-1.47,3.75,4.51
"ACC","2014-12-31",62.84,104.64,56.64,56.63,733.91,657.46,465.65,361.91,373.86,333.41,239.31,182.73,0.58,0.42,0.61,0.46
"ACCO","2014-12-31",91.6,77.1,115.4,56.7,1689.2,1765.1,1758.5,1318.4,529.9,547.9,537.1,399.2,0.82,0.89,1.38,0.32
"ACG","2014-12-31",146.51,-73.36,236.04,181.44,113.88,111.32,111.72,121.72,112.66,110.15,109.71,120.44,0.64,-0.3,0.97,0.75
"ACH","2013-12-31",975.25,-8233.75,237.97,778.01,169431.23,149478.82,145874.43,120994.85,2751.44,-323.84,7763.07,7644.91,-0.26,-0.61,0.04,0.09
"ACI","2014-12-31",-558.35,-641.83,-683.96,141.68,2937.12,3014.36,3768.13,3883.04,370.93,351.22,613.03,902.68,-2.56,-1.89,-0.99,0.65
"ACM","2014-09-30",229.85,239.24,-58.57,275.8,8356.78,8153.49,8218.18,8037.37,403.18,449.99,421.86,466.7,2.53,2.35,1.43,2.33
"ACN","2014-08-31",2941.5,3281.88,2553.51,2277.68,31874.68,30394.28,29777.99,27352.91,9684.47,9384.17,8987.7,8386.72,4.5,4.62,3.84,3.4
"ACW","2014-12-31",-2.31,-38.31,-178.01,-17.03,705.18,642.88,794.63,804.54,73.48,43.96,51,77.61,-0.03,-0.4,-1.69,-0.3
"ADC","2014-12-31",18.49,19.67,18.05,9.55,53.56,43.52,34.62,30.26,48.64,39.86,31.3,26.79,1.47,1.4,1.23,1.2
"ADM","2014-12-31",2248,1342,692,1223,81201,89804,46729,89038,4768,3889,1802,3668,3.16,2.24,1.15,2.31
"ADS","2014-12-31",506.29,496.17,422.26,315.29,5302.94,4319.06,3641.39,3173.29,2084.17,1769.9,1534.78,1361.4,8.11,7.42,6.58,5.45
"AEC","2014-12-31",144.71,61.25,30.59,5.33,194.08,181.48,158.55,149.62,120.68,113.6,97.75,78.56,0.19,0.11,0.01,-0.3
"AEM","2013-12-31",-406.53,310.92,-568.89,332.12,1638.41,1917.71,1821.8,1422.52,714.98,1016,936.5,751.12,-0.2,1.83,1.31,1.65
"AEO","2015-01-31",80.32,82.98,232.11,151.71,3282.87,3305.8,3475.8,3120.07,1154.67,1114,1391.21,1144.59,0.62,0.56,1.47,0.98
"AER","2014-12-31",810.45,292.41,163.66,172.22,3602.79,1008.19,1018.94,1084.64,3412.49,959.65,940.06,987.3,4.46,2.42,1.66,1.57
"AES","2014-12-31",769,114,-912,58,17146,15891,17164,16098,3088,3247,3583,4040,1.57,0.98,0.4,0.88
"AGCO","2014-12-31",410.4,597.2,522.1,583.3,9723.7,10786.9,9962.2,8773.2,2066.3,2390.6,2123.2,1776.1,4.68,6.01,5.47,5.94
"AGM","2014-12-31",48.09,75.33,46.77,16.66,230.57,235.4,264.67,274.69,59.85,98.12,121.98,121.31,3.35,6.23,3.92,1.2
"AGN","2014-12-31",1524.2,985.1,1098.8,934.5,7237.9,6300.4,5646.6,5216,6395.5,5504.7,4895.5,4498,6.05,4.5,3.82,3.21
"AGRO","2013-12-31",-25.83,9.4,56.02,-43.9,618.38,637.35,645.42,403.74,126.8,148.19,225.79,52.8,-0.38,-0.04,0.42,-0.72
"AGU","2014-12-31",714,1062,1494,1371,16042,15727,16024,15470,3552,3773,4308,4333,5.5,7.11,9.67,9.8
"AGX","2014-01-31",40.12,23.27,9.27,7.77,227.46,278.63,141.85,182.59,78.85,50.13,23.1,29.12,2.78,1.67,0.56,0.73
"AH","2013-12-31",130.08,-119.74,-71.75,-79.92,504.77,72.25,101.97,26.95,318.02,-116.41,-56.75,-86.66,1.34,-1.21,-0.74,-1.13
"AHC","2014-12-31",92.93,16.12,0.53,-10.93,272.79,276.18,280.92,394.2,240.28,241.34,246.85,345.51,3.82,0.07,0.22,0.06
"AHS","2014-12-31",33.22,32.93,17.07,-26.27,1036.03,1011.82,953.95,887.47,316.12,297.28,270.4,249.32,0.73,0.69,0.45,0.15
"AHT","2014-12-31",-31.4,-41.28,-53.78,2.11,794.85,939.53,919.66,859.98,249.33,298.06,286.3,261.96,-0.71,-0.98,-1.26,-0.59
"AI","2014-12-31",5.95,49.46,183.94,15.17,84.86,40.61,69.12,33.37,71.94,29.52,60.04,29.02,0.29,3.15,19.12,1.96
"AIN","2014-12-31",41.57,17.52,30.98,34.94,745.35,757.41,760.94,787.29,291.63,290.55,305.4,314.17,1.55,1,-1.16,0.87
"AIR","2014-05-31",72.9,55,67.7,69.83,2035,2137.3,2065,1805.11,340.2,314.2,322.3,312.41,1.83,1.39,1.73,1.72
"AIT","2014-06-30",112.82,118.15,108.78,96.76,2459.88,2462.17,2375.45,2212.85,686.93,682.96,654.47,613.11,2.67,2.78,2.54,2.24
"AJG","2014-12-31",303.4,268.6,195,144.1,4626.5,3179.6,2520.3,2134.7,1400,1057.3,915.3,776.6,2.3,2.3,1.57,1.5
"AKR","2014-12-31",71.06,40.12,39.71,51.55,195.01,168.29,134.43,115.08,147.12,126.34,93.62,82.25,-0.77,0.65,0.51,0.49
"AKS","2014-12-31",-96.9,-46.8,-1027.3,-155.6,6505.7,5570.4,5933.7,6468,498,462.6,394.6,431.2,-0.65,-0.34,-9.09,-1.42
"ALB","2014-12-31",133.32,413.17,311.54,392.11,2445.55,2394.27,2519.15,2869.01,770.85,850.47,898.84,954.95,3.21,5.15,4.39,4.28
"ALG","2014-12-31",41.15,36.09,28.9,32.69,839.05,682.09,633.03,603.59,189.23,158.51,143.51,135.09,3.42,2.96,2.44,2.43
"ALJ","2014-12-31",38.46,22.99,79.13,42.51,6779.46,7046.38,8017.74,7186.26,872.57,685.69,908.45,690.24,0.55,0.2,1.18,0.68
"ALK","2014-12-31",605,508,316,244.5,5368,5156,4657,4317.8,1977,1833,1478,1333.5,4.29,3.58,2.2,1.83
"ALR","2014-12-31",9.92,-71.25,-78.18,-133.54,2586.69,2619.86,2393.13,2386.53,1233.66,1328.52,1246.49,1245.84,-1.76,-0.77,-0.77,3.56
"ALU","2014-12-31",-86,-1250,-2011,660,13178,13813,14449,15332,4408,4322,4341,5355,0.11,-0.22,-0.75,0.14
"ALV","2014-12-31",467.8,485.8,483.1,623.4,9240.5,8803.4,8266.7,8232.4,1803.8,1704.6,1646.2,1719.2,5.06,5.07,5.65,6.75
"ALX","2014-12-31",67.92,56.91,674.39,79.42,200.81,196.46,191.31,185.25,128.54,129.15,129.56,129.76,13.19,10.7,9.68,10.42
"AMD","2014-12-27",-403,-83,-1183,491,5506,5299,5422,6568,1839,1978,1235,2940,-0.22,-0.12,-1.51,0.95
"AME","2014-12-31",584.46,517,459.13,384.46,4021.96,3594.14,3334.21,2989.91,1424.95,1270.49,1180.08,1034.13,2.37,2.1,1.88,1.58
"AMP","2014-12-31",1619,1334,1029,1116,12296,11230,10259,10240,6337,5514,4896,5320,8.6,6.96,4.73,5
"AMRC","2014-12-31",10.38,2.41,18.36,33.41,593.24,574.17,631.17,728.2,116.93,103.32,128.15,135.05,0.24,0.07,0.44,0.75
"AMT","2014-12-31",824.91,551.33,637.28,396.46,4100.05,3361.41,2875.96,2443.53,3005.78,2501.53,2153.48,1822.58,2.01,1.47,1.67,1.02
"AMTD","2014-09-30",787,675,586,637.75,3129,2771,2647,2767.49,3123,2764,2641,2762.66,1.42,1.22,1.06,1.11
"AN","2014-12-31",418.7,374.9,316.4,281.4,19108.8,17517.6,15667.5,13832.3,2988.7,2759.9,2486.2,2304,3.48,3.05,2.54,1.94
"ANF","2015-01-31",51.82,54.63,237.01,143.93,3744.03,4116.9,4510.81,4158.06,2313.57,2575.43,2816.71,2550.22,1.09,1.91,2.91,2.34
