"X","lab","w"
1,"CME",0.162981680353759
2,"AAPL",0.125605390608549
3,"MON",0.085702253105917
4,"MCD",0.0559065066329754
5,"TSO",0.0543272267845862
6,"GME",0.0530638029058749
8,"LH",0.0505369551484523
9,"BCR",0.0495893872394188
10,"AMT",0.0487471046536113
11,"BLK",0.047378395451674
12,"ISRG",0.0410612760581175
13,"HUM",0.0340071594019794
14,"EIX",0.0306380290587492
15,"PCP",0.0283217519477785
16,"SWN",0.0249526216045483
17,"ESRX",0.023689197725837
18,"WMB",0.0174773636555064
19,"RRC",0.0147399452516319
20,"DVA",0.0125289534638871
21,"RAI",0.0104232469993683
22,"WYNN",0.00937039376710887
23,"CVH",0.0074752579490419
24,"CERN",0.00389555695935987
25,"PCLN",0.00389555695935987
26,"AET",0.00368498631290798
