"symbol","basedate","netinc0","netinc1","netinc2","totrev0","totrev1","totrev2","gsprof0","gsprof1","gsprof2"
"A","2017-10-31",684000,462000,401000,4472000,4202000,4038000,2409000,2197000,2041000
"AA","2017-12-31",217000,-4e+05,-863000,11652000,9318000,11199000,2586000,1425000,2250000
"AAN","2017-12-31",292536,139283,135709,3383708,3207716,3179756,1720789,1560743,1449909
"AAP","2017-12-30",475505,459622,473398,9373784,9567679,9737018,4085049,4255915,4422772
"AAT","2017-12-31",29077,32585,38509,314983,295088,275623,198306,187157,177617
"AAV","2017-12-31",75852,-11733,15390,179877,117097,91047,134986,96710,77832
"ABB","2017-12-31",2213000,1899000,1933000,34312000,33828000,35481000,10266000,9747000,10134000
"ABC","2017-09-30",364484,1427929,-138165,153143826,146849686,135961803,4546002,4272606,3529313
"ABG","2017-12-31",139100,167200,169200,6456500,6527800,6588300,1055900,1058700,1060800
"ABM","2017-10-31",3800,57200,76300,5453600,5144700,4897800,5453600,5144700,4897800
"ABR","2017-12-31",65835,42796,45875,190487,94511,27936,173332,68410,-6202
"ABX","2017-12-31",1516000,861000,-3113000,8374000,8558000,9029000,3074000,3153000,2122000
"ACC","2017-12-31",69038,99061,115991,796447,786361,753381,424196,411918,386530
"ACCO","2017-12-31",131700,95500,85900,1948800,1557100,1510400,656400,515100,478400
"ACH","2017-12-31",363014,175750,53576,27653678,20753855,19044546,2212182,1518753,384280
"ACM","2017-09-30",339390,96109,-154845,18203402,17410825,17989880,683720,642824,535188
"ACN","2017-08-31",3445149,4111892,3053581,36765478,34797661,32914424,11030492,10277427,9809239
"ADC","2017-12-31",58112,45118,39018,116555,91527,69966,104088,82931,63587
"ADM","2017-12-31",1595000,1279000,1849000,60828000,62346000,67702000,3506000,3619000,3966000
"ADS","2017-12-31",788700,515800,596500,7719400,7138100,6439700,2309400,1920800,1957100
"ADX","2008-12-31",-472442.146,77853.831,178524.258,59627.287,92552.153,185065.034,58594.168,91595.872,180833.153
"AEB","2017-12-31",2965000,462000,-468000,69710000,56073000,41092000,7839000,5102000,5200000
"AED","2017-12-31",2965000,462000,-468000,69710000,56073000,41092000,7839000,5102000,5200000
"AEE","2017-12-31",529000,659000,636000,6177000,6076000,6098000,2831000,2693000,2597000
"AEG","2017-12-31",2965000,462000,-468000,69710000,56073000,41092000,7839000,5102000,5200000
"AEH","2017-12-31",2965000,462000,-468000,69710000,56073000,41092000,7839000,5102000,5200000
"AEL","2017-12-31",174645,83243,219830,3891652,2220282,1518937,1824765,1442327,505426
"AEM","2017-12-31",243887,158824,24583,2242604,2138232,1985432,1043312,959362,879784
"AEO","2018-02-03",204163,212449,218138,3795549,3609865,3521848,1370505,1366927,1302734
"AEP","2017-12-31",1912600,610900,2047100,15424900,16380100,16453200,8971800,9412100,9019700
"AER","2017-12-31",1076151,1046630,1178730,4713802,4867623,4991551,4713802,4867623,4991551
"AES","2017-12-31",-1161000,-1130000,306000,10530000,10281000,11260000,2464000,2380000,2663000
"AET","2017-12-31",1904000,2271000,2390000,60535000,63155000,60337000,15907000,16799000,16504000
"AEV","2017-12-31",1904000,2271000,2390000,60535000,63155000,60337000,15907000,16799000,16504000
"AFC","2009-12-31",-521498,-1040006,153303,318686,501112,461705,318686,501112,461705
"AFG","2017-12-31",475000,649000,352000,6865000,6498000,6145000,1585000,1554000,1267000
"AFL","2017-12-31",4604000,2659000,2533000,21667000,22559000,20872000,8170000,8272000,7823000
"AG","2017-12-31",-53272,8601,-108424,252288,278077,219444,15978,49203,8731
"AGCO","2017-12-31",186400,160100,266400,8306500,7410500,7467300,1765300,1515500,1560600
"AGD","2008-10-31",-291915.109,126937.42,34648.865,63951.28,133545.278,38747.258,59650.308,127800.658,37519.818
"AGI","2017-12-31",26600,-17900,-508900,542800,482200,355100,86000,52900,-28900
"AGN","2017-12-31",-4403900,14695000,3683200,15940700,14570600,12688100,13772700,12709800,9936300
"AGO","2017-12-31",730000,881000,1056000,1739000,1677000,2207000,1351000,1382000,1783000
"AGRO","2017-12-31",11749,3739,-4351,933178,869235,674314,238523,310269,185747
"AGX","2018-01-31",72011,70328,36345,892815,675047,413275,149325,146711,99465
"AH","2018-01-31",72011,70328,36345,892815,675047,413275,149325,146711,99465
"AHC","2017-12-31",10161,-19310,-17842,248626,259984,272108,110471,114564,115387
"AHL","2017-12-31",-267700,203300,322300,2653400,2938500,2753400,258200,833500,903600
"AHT","2017-12-31",-122568,-88681,236977,1439270,1492043,1336966,531969,553644,496722
"AI","2017-12-31",17184,-41347,-69403,69734,76114,102374,69734,76114,102374
"AIG","2017-12-31",-6084000,-849000,2196000,49520000,52367000,58327000,15260000,15409000,21746000
"AIN","2017-12-31",33111,52733,57279,863717,779839,709868,295780,300568,278686
"AIR","2017-05-31",56500,47700,10200,1767600,1698900,1621400,276500,237900,130800
"AIT","2017-06-30",133910,29577,115484,2593746,2519428,2751561,737695,707422,769814
"AIZ","2017-12-31",519600,565400,141600,6415000,7531800,10325500,1834000,2280500,1658900
"AJG","2017-12-31",463100,414400,356800,6159600,5594800,5392400,6159600,5594800,5392400
